com_score,Percentage of negative
305,1.0
306,1.0
307,1.0
308,1.0
309,1.0
310,1.0
311,1.0
312,1.0
313,1.0
314,1.0
315,0.875
316,1.0
317,1.0
318,1.0
319,1.0
320,1.0
321,1.0
322,1.0
323,1.0
324,1.0
325,1.0
326,1.0
328,1.0
329,1.0
330,1.0
331,1.0
333,1.0
334,1.0
335,1.0
336,1.0
337,1.0
338,1.0
339,1.0
340,1.0
341,1.0
342,1.0
343,1.0
344,1.0
345,1.0
346,1.0
347,1.0
348,0.5
349,0.6666666666666666
350,1.0
351,1.0
352,1.0
353,1.0
354,1.0
355,1.0
356,1.0
357,1.0
358,1.0
359,0.5
361,1.0
362,1.0
363,1.0
364,1.0
365,0.6666666666666666
366,1.0
368,1.0
369,1.0
370,1.0
371,1.0
372,0.5
373,1.0
374,1.0
375,1.0
376,1.0
377,1.0
378,1.0
379,1.0
380,1.0
381,1.0
382,1.0
383,1.0
384,1.0
385,0.0
386,1.0
387,1.0
388,1.0
389,1.0
390,1.0
391,1.0
392,1.0
394,1.0
395,1.0
396,1.0
397,1.0
398,1.0
399,1.0
400,1.0
401,1.0
402,1.0
403,1.0
404,1.0
406,1.0
408,1.0
409,1.0
410,1.0
411,1.0
412,1.0
413,0.75
415,1.0
416,1.0
417,1.0
418,1.0
420,1.0
421,1.0
422,1.0
423,1.0
424,0.6666666666666666
425,1.0
426,0.75
427,1.0
428,1.0
429,1.0
430,1.0
433,1.0
434,1.0
435,1.0
437,1.0
438,0.0
439,1.0
441,1.0
442,1.0
443,1.0
444,1.0
445,1.0
446,1.0
447,1.0
448,1.0
449,1.0
450,1.0
451,1.0
452,1.0
453,1.0
454,1.0
455,1.0
458,1.0
459,1.0
460,1.0
461,1.0
462,1.0
463,1.0
465,1.0
466,1.0
467,1.0
468,1.0
469,1.0
470,1.0
471,1.0
472,1.0
473,1.0
475,1.0
476,1.0
477,1.0
478,1.0
479,1.0
480,0.0
482,1.0
483,1.0
484,1.0
485,1.0
486,1.0
487,1.0
488,1.0
489,1.0
490,1.0
491,1.0
494,1.0
495,1.0
496,1.0
497,1.0
498,1.0
500,1.0
501,0.6666666666666666
502,1.0
503,0.5
505,1.0
506,1.0
507,1.0
508,1.0
510,1.0
512,1.0
513,1.0
514,1.0
516,1.0
517,1.0
519,1.0
520,1.0
522,1.0
523,1.0
526,1.0
527,1.0
528,1.0
529,0.6666666666666666
530,1.0
531,1.0
534,1.0
535,1.0
536,1.0
537,1.0
539,1.0
540,1.0
541,1.0
542,1.0
545,0.6666666666666666
547,1.0
548,1.0
549,1.0
550,1.0
551,1.0
552,1.0
553,1.0
554,1.0
556,1.0
557,1.0
558,1.0
559,1.0
562,1.0
564,1.0
565,1.0
566,1.0
567,1.0
569,1.0
570,1.0
571,1.0
572,1.0
574,1.0
575,0.5
576,1.0
577,1.0
580,1.0
581,1.0
583,1.0
584,1.0
585,0.5
586,1.0
587,1.0
588,1.0
589,1.0
591,0.0
592,1.0
593,1.0
594,1.0
595,1.0
596,1.0
598,1.0
599,1.0
602,1.0
603,1.0
604,1.0
605,1.0
606,1.0
607,1.0
608,1.0
609,1.0
610,1.0
611,1.0
613,1.0
615,1.0
616,1.0
617,1.0
618,1.0
619,1.0
621,1.0
622,1.0
623,1.0
624,1.0
625,1.0
627,1.0
632,1.0
633,1.0
636,1.0
637,1.0
638,1.0
639,0.5
642,1.0
644,1.0
645,1.0
648,1.0
650,1.0
654,1.0
657,1.0
659,1.0
660,1.0
661,1.0
663,1.0
664,1.0
665,1.0
671,1.0
674,1.0
675,1.0
676,1.0
677,1.0
680,1.0
683,1.0
685,1.0
686,1.0
689,1.0
690,1.0
691,1.0
692,1.0
695,1.0
696,1.0
697,1.0
698,1.0
699,1.0
702,1.0
703,1.0
706,1.0
708,1.0
709,1.0
710,1.0
715,1.0
718,1.0
720,1.0
722,1.0
725,1.0
728,1.0
729,1.0
732,1.0
733,1.0
734,1.0
744,1.0
745,1.0
748,1.0
751,1.0
757,1.0
758,1.0
759,1.0
762,1.0
765,1.0
767,1.0
769,1.0
770,1.0
771,1.0
772,1.0
777,1.0
779,1.0
780,1.0
783,1.0
785,1.0
786,1.0
788,1.0
791,1.0
795,1.0
796,1.0
800,1.0
803,1.0
806,1.0
809,1.0
812,1.0
813,1.0
818,1.0
819,1.0
822,1.0
824,1.0
825,1.0
829,1.0
831,1.0
832,1.0
834,1.0
835,1.0
839,1.0
841,1.0
845,1.0
847,1.0
848,1.0
849,1.0
850,1.0
852,1.0
854,1.0
855,1.0
858,1.0
863,1.0
865,1.0
871,1.0
872,1.0
876,1.0
878,1.0
882,1.0
886,1.0
887,1.0
888,1.0
891,1.0
892,1.0
897,1.0
898,1.0
899,1.0
900,1.0
901,1.0
902,1.0
903,1.0
906,1.0
907,1.0
910,1.0
913,1.0
915,1.0
917,1.0
919,1.0
920,1.0
922,1.0
928,1.0
929,0.5
930,1.0
934,1.0
935,1.0
938,1.0
945,1.0
946,1.0
947,1.0
957,1.0
962,1.0
964,1.0
972,1.0
973,1.0
977,0.0
980,1.0
985,1.0
989,1.0
991,1.0
993,1.0
999,1.0
1009,1.0
1010,1.0
1011,1.0
1015,1.0
1016,1.0
1024,1.0
1028,1.0
1039,1.0
1040,1.0
1043,1.0
1044,1.0
1045,1.0
1047,1.0
1051,1.0
1052,1.0
1055,1.0
1058,1.0
1062,1.0
1064,1.0
1066,1.0
1067,1.0
1071,1.0
1073,0.0
1076,1.0
1086,0.0
1092,1.0
1095,1.0
1097,1.0
1103,1.0
1111,0.0
1121,1.0
1122,1.0
1130,1.0
1131,1.0
1135,1.0
1138,1.0
1144,1.0
1146,1.0
1153,1.0
1158,1.0
1159,1.0
1160,1.0
1161,1.0
1169,1.0
1170,1.0
1187,1.0
