sub_score,Percentage of positive
1332,0.25
1333,0.15384615384615385
1334,0.25
1335,0.13333333333333333
1336,0.23529411764705882
1337,0.0
1338,0.1111111111111111
1339,0.07142857142857142
1340,0.2222222222222222
1341,0.125
1342,0.07142857142857142
1343,0.06666666666666667
1344,0.2222222222222222
1345,0.14285714285714285
1346,0.0
1347,0.07142857142857142
1348,0.15625
1349,0.07142857142857142
1350,0.05555555555555555
1351,0.0
1352,0.0
1353,0.0
1354,0.0
1355,0.16666666666666666
1356,0.14285714285714285
1357,0.0
1358,0.10526315789473684
1359,0.0
1360,0.041666666666666664
1361,0.09523809523809523
1362,0.1111111111111111
1363,0.2
1364,0.1111111111111111
1365,0.0
1366,0.16666666666666666
1367,0.1111111111111111
1368,0.0
1369,0.3125
1370,0.0
1371,0.0
1372,0.058823529411764705
1373,0.21052631578947367
1374,0.09090909090909091
1375,0.0
1376,0.0
1377,0.0
1378,0.0
1379,0.041666666666666664
1380,0.16666666666666666
1381,0.041666666666666664
1382,0.18181818181818182
1383,0.16666666666666666
1384,0.21428571428571427
1385,0.18181818181818182
1386,0.14285714285714285
1387,0.21428571428571427
1388,0.15384615384615385
1389,0.0
1390,0.0
1391,0.12121212121212122
1392,0.0
1393,0.0
1394,0.08333333333333333
1395,0.037037037037037035
1396,0.1
1398,0.0
1399,0.07142857142857142
1400,0.2
1401,0.2
1402,0.0
1403,0.1111111111111111
1404,0.08333333333333333
1405,0.25
1406,0.1111111111111111
1407,0.16666666666666666
1408,0.24
1409,0.3333333333333333
1410,0.25
1411,0.18181818181818182
1412,0.18181818181818182
1413,0.1
1414,0.2
1415,0.0
1416,0.038461538461538464
1417,0.14285714285714285
1418,0.3333333333333333
1419,0.047619047619047616
1420,0.23333333333333334
1421,0.2
1422,0.1
1423,0.0
1424,0.15384615384615385
1425,0.1875
1426,0.0
1427,0.0
1428,0.0
1429,0.0
1430,0.0
1431,0.13636363636363635
1432,0.06666666666666667
1433,0.23076923076923078
1434,0.0
1435,0.2222222222222222
1436,0.0
1437,0.07692307692307693
1438,0.125
1439,0.2222222222222222
1440,0.21428571428571427
1441,0.0
1442,0.14285714285714285
1443,0.2
1444,0.2
1445,0.12
1446,0.18181818181818182
1447,0.1875
1448,0.2857142857142857
1449,0.11764705882352941
1450,0.375
